Date,State,City,Attack Type,Target Type,Casualties,Perpetrators,Weapons Used,Sources,Summary
3/28/2005,Jammu and Kashmir,Pulwama,Hijacking,Public Infrastructure,40,Terrorist Group B,Explosives,https://news.example.com/8568,"On 2005-03-28, a hijacking targeted public infrastructure in Pulwama, Jammu and Kashmir, resulting in 40 casualties. Perpetrators: Terrorist Group B. Weapon used: Explosives."
1/15/2006,West Bengal,Kolkata,Suicide Attack,Military,1,Maoist Rebels,Explosives,https://news.example.com/5309,"On 2006-01-15, a suicide attack targeted military in Kolkata, West Bengal, resulting in 1 casualties. Perpetrators: Maoist Rebels. Weapon used: Explosives."
8/8/2010,Maharashtra,Nagpur,Shooting,Military,4,Terrorist Group A,Explosives,https://news.example.com/9938,"On 2010-08-08, a shooting targeted military in Nagpur, Maharashtra, resulting in 4 casualties. Perpetrators: Terrorist Group A. Weapon used: Explosives."
4/26/2001,Assam,Tezpur,Arson,Civilians,1,Terrorist Group B,Guns,https://news.example.com/8364,"On 2001-04-26, a arson targeted civilians in Tezpur, Assam, resulting in 1 casualties. Perpetrators: Terrorist Group B. Weapon used: Guns."
8/25/2019,Jharkhand,Dhanbad,Hijacking,Government Officials,46,Maoist Rebels,Guns,https://news.example.com/8902,"On 2019-08-25, a hijacking targeted government officials in Dhanbad, Jharkhand, resulting in 46 casualties. Perpetrators: Maoist Rebels. Weapon used: Guns."
7/24/2021,Jharkhand,Ranchi,Shooting,Government Officials,43,Unknown,Molotov Cocktails,https://news.example.com/7323,"On 2021-07-24, a shooting targeted government officials in Ranchi, Jharkhand, resulting in 43 casualties. Perpetrators: Unknown. Weapon used: Molotov Cocktails."
9/4/2019,Uttar Pradesh,Varanasi,Suicide Attack,Government Officials,49,Maoist Rebels,IEDs,https://news.example.com/6965,"On 2019-09-04, a suicide attack targeted government officials in Varanasi, Uttar Pradesh, resulting in 49 casualties. Perpetrators: Maoist Rebels. Weapon used: IEDs."
2/21/2011,Chhattisgarh,Bijapur,Shooting,Public Infrastructure,32,Terrorist Group B,Explosives,https://news.example.com/3030,"On 2011-02-21, a shooting targeted public infrastructure in Bijapur, Chhattisgarh, resulting in 32 casualties. Perpetrators: Terrorist Group B. Weapon used: Explosives."
10/1/2016,West Bengal,Darjeeling,Bombing,Civilians,8,Terrorist Group A,IEDs,https://news.example.com/8665,"On 2016-10-01, a bombing targeted civilians in Darjeeling, West Bengal, resulting in 8 casualties. Perpetrators: Terrorist Group A. Weapon used: IEDs."
3/12/2011,Jammu and Kashmir,Baramulla,Hijacking,Public Infrastructure,47,Maoist Rebels,Molotov Cocktails,https://news.example.com/6080,"On 2011-03-12, a hijacking targeted public infrastructure in Baramulla, Jammu and Kashmir, resulting in 47 casualties. Perpetrators: Maoist Rebels. Weapon used: Molotov Cocktails."
