Date,State,City,Attack Type,Target Type,Casualties,Perpetrators,Weapons Used,Sources,Summary,Year,Months,Risk
2005-03-28,Jammu and Kashmir,Pulwama,Hijacking,Public Infrastructure,40,Terrorist Group B,Explosives,https://news.example.com/8568,"On 2005-03-28, a hijacking targeted public infrastructure in Pulwama, Jammu and Kashmir, resulting in 40 casualties. Perpetrators: Terrorist Group B. Weapon used: Explosives.",2005,3,High Risk
2006-01-15,West Bengal,Kolkata,Suicide Attack,Military,1,Maoist Rebels,Explosives,https://news.example.com/5309,"On 2006-01-15, a suicide attack targeted military in Kolkata, West Bengal, resulting in 1 casualties. Perpetrators: Maoist Rebels. Weapon used: Explosives.",2006,1,Low Risk
2010-08-08,Maharashtra,Nagpur,Shooting,Military,4,Terrorist Group A,Explosives,https://news.example.com/9938,"On 2010-08-08, a shooting targeted military in Nagpur, Maharashtra, resulting in 4 casualties. Perpetrators: Terrorist Group A. Weapon used: Explosives.",2010,8,Low Risk
2001-04-26,Assam,Tezpur,Arson,Civilians,1,Terrorist Group B,Guns,https://news.example.com/8364,"On 2001-04-26, a arson targeted civilians in Tezpur, Assam, resulting in 1 casualties. Perpetrators: Terrorist Group B. Weapon used: Guns.",2001,4,Low Risk
2019-08-25,Jharkhand,Dhanbad,Hijacking,Government Officials,46,Maoist Rebels,Guns,https://news.example.com/8902,"On 2019-08-25, a hijacking targeted government officials in Dhanbad, Jharkhand, resulting in 46 casualties. Perpetrators: Maoist Rebels. Weapon used: Guns.",2019,8,High Risk
2021-07-24,Jharkhand,Ranchi,Shooting,Government Officials,43,Unknown,Molotov Cocktails,https://news.example.com/7323,"On 2021-07-24, a shooting targeted government officials in Ranchi, Jharkhand, resulting in 43 casualties. Perpetrators: Unknown. Weapon used: Molotov Cocktails.",2021,7,High Risk
2019-09-04,Uttar Pradesh,Varanasi,Suicide Attack,Government Officials,49,Maoist Rebels,IEDs,https://news.example.com/6965,"On 2019-09-04, a suicide attack targeted government officials in Varanasi, Uttar Pradesh, resulting in 49 casualties. Perpetrators: Maoist Rebels. Weapon used: IEDs.",2019,9,High Risk
2011-02-21,Chhattisgarh,Bijapur,Shooting,Public Infrastructure,32,Terrorist Group B,Explosives,https://news.example.com/3030,"On 2011-02-21, a shooting targeted public infrastructure in Bijapur, Chhattisgarh, resulting in 32 casualties. Perpetrators: Terrorist Group B. Weapon used: Explosives.",2011,2,High Risk
2016-10-01,West Bengal,Darjeeling,Bombing,Civilians,8,Terrorist Group A,IEDs,https://news.example.com/8665,"On 2016-10-01, a bombing targeted civilians in Darjeeling, West Bengal, resulting in 8 casualties. Perpetrators: Terrorist Group A. Weapon used: IEDs.",2016,10,Medium Risk
2011-03-12,Jammu and Kashmir,Baramulla,Hijacking,Public Infrastructure,47,Maoist Rebels,Molotov Cocktails,https://news.example.com/6080,"On 2011-03-12, a hijacking targeted public infrastructure in Baramulla, Jammu and Kashmir, resulting in 47 casualties. Perpetrators: Maoist Rebels. Weapon used: Molotov Cocktails.",2011,3,High Risk
